-2.0822,0.42237,2.8719,-1.8165,2.1535,-0.41716,-2.0126,0.48757,-2.6886,0.84084,0.32537,-1.7928,0.69372,0.65735,-1.7591,-0.732,0.19216,-0.090657,-0.58466,-0.92246
1.6146,-0.37888,-2.6848,0.41936,0.56005,0.95868,0.27049,-0.37008,0.60794,1.1953,-1.4979,1.6603,-0.19189,-1.5426,-0.62906,-1.0087,2.0744,-0.60006,-1.0682,-0.46257
4.4277,-3.1566,-3.6372,3.5659,-1.8791,0.99891,-0.55463,0.20764,0.33028,1.4244,-1.5155,0.81908,-0.73782,-0.13273,1.7067,-0.78403,-3.0708,1.1602,0.42745,-0.80955
-4.6095,2.3532,2.3685,-4.0629,3.1125,1.548,-0.52604,-1.8125,-0.84191,1.1759,0.35051,-0.55964,-0.33836,1.0142,-3.7066,0.57832,-0.24287,-0.72093,2.1137,0.55984
-3.6664,0.42422,-0.17392,0.47767,0.76369,-0.87942,-0.85777,0.67593,1.4974,-1.2896,-1.4647,0.8102,1.3878,-1.1436,-0.21304,0.098421,-1.252,0.55867,-0.089527,-0.59989
-0.25234,-2.9161,0.36831,-0.47497,-0.44663,1.2781,0.42466,0.84839,0.34329,1.3987,-1.1423,-0.52812,0.37014,-0.333,-1.6558,0.21158,-0.33642,-1.5322,1.9268,-1.1793
0.47227,2.1316,-1.5282,0.49221,0.78509,-0.17022,-0.47088,-0.65253,0.0076431,0.8503,-1.7938,-0.63059,1.6091,-0.48748,0.45871,1.11,-0.99436,-0.58055,1.028,-1.1034
-3.0555,0.76272,2.5098,-1.9334,0.054025,-0.084227,0.57898,-0.93923,0.6822,1.0736,0.45386,2.2394,0.6139,-0.6751,0.96403,-0.81624,-1.903,0.29156,1.9078,-1.0086
0.12528,-0.13963,-2.0605,1.2321,-0.36924,-0.7008,-0.5474,-2.6723,-0.59704,1.3209,-1.1457,0.25557,-0.95301,1.4287,0.12603,-2.1207,0.53238,0.35532,-0.29431,0.61463
-0.1098,-0.45228,0.9207,1.893,-0.45464,0.59211,-0.9337,-0.72531,-0.82131,0.21303,1.1135,0.42619,-2.6361,-0.66695,2.0727,-0.044013,0.16879,1.5546,0.54363,-0.36729
